mls_id,style,street,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,livability_score,amenities,commute,cost_of_living,crime,employment,health,housing,schools,ratings
ML81953634,townhomes,3444  Capella Ln,Alameda,CA,94502,2.0,2.0,0.0,1247.0,1973.0,37.0,848000,2024-02-07,920000.0,2024-03-15,2268.0,738.0,37.732937,-122.236143,1.0,550.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41050640,single family,5  Plover Ct,Alameda,CA,94501,3.0,2.0,1.0,1590.0,2000.0,21.0,998000,2024-02-22,1112000.0,2024-03-14,3274.0,699.0,37.778753,-122.278226,2.0,295.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41048177,single family,1304  Fernside Blvd,Alameda,CA,94501,3.0,2.0,0.0,2334.0,1950.0,43.0,1199000,2024-01-29,1430000.0,2024-03-12,5976.0,613.0,37.754129,-122.23045,1.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41048757,single family,2803  Clay St,Alameda,CA,94501,2.0,2.0,0.0,1163.0,1930.0,37.0,995000,2024-01-31,1352000.0,2024-03-08,3264.0,1163.0,37.754957,-122.24158500000001,2.0,0.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41048231,single family,323  Indian Bay,Alameda,CA,94502,3.0,2.0,1.0,1691.0,1990.0,43.0,1400000,2024-01-23,1390000.0,2024-03-06,2200.0,822.0,37.738802,-122.25008600000001,2.0,427.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41048806,townhomes,3038  Cerro Vista,Alameda,CA,94502,2.0,1.0,1.0,1180.0,1965.0,35.0,768000,2024-01-31,780000.0,2024-03-06,1500.0,661.0,37.735455,-122.246149,2.0,595.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41048516,single family,10  Sanderling Ct,Alameda,CA,94501,4.0,2.0,1.0,1795.0,2000.0,40.0,998000,2024-01-26,1280000.0,2024-03-06,3276.0,713.0,37.778024,-122.27914299999999,2.0,295.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41050161,single family,1309  Caroline St,Alameda,CA,94501,3.0,2.0,0.0,1656.0,1964.0,18.0,1599000,2024-02-16,1800000.0,2024-03-05,5000.0,1087.0,37.769712,-122.26846200000001,1.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41048408,single family,1073  Holly St,Alameda,CA,94502,4.0,2.0,1.0,2207.0,1968.0,39.0,1395000,2024-01-25,1550000.0,2024-03-04,5050.0,702.0,37.732515,-122.23893000000001,2.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41047614,condos,2840  Cathwood Ln,Alameda,CA,94501,2.0,1.0,1.0,1066.0,2023.0,34.0,749000,2024-01-30,770000.0,2024-03-04,1000.0,722.0,37.790848,-122.282898,3.0,365.0,1.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41049149,single family,401  Whitehall Rd,Alameda,CA,94501,5.0,3.0,0.0,2521.0,1962.0,28.0,1598000,2024-02-02,1860000.0,2024-03-01,5940.0,738.0,37.758709,-122.257143,3.0,0.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
41046733,townhomes,3226  Phoenix Ln,Alameda,CA,94502,2.0,2.0,0.0,1274.0,1969.0,52.0,899000,2024-01-08,905000.0,2024-02-29,2208.0,710.0,37.732054999999995,-122.242856,1.0,450.0,2.0,69,F,A+,F,D-,A+,B+,B-,B,D+
